Doculect	CONCEPT	HANZI	IPA	NOTE
Rucheng	above	□	naŋ6	
Rucheng	all	所有	su3 iəu3	
Rucheng	all	全部	ʨ'ya2 pu6	
Rucheng	all	个个	kɛi5 kɛi6	human being
Rucheng	and	和	xuɛ1	
Rucheng	and	搭	ta3	
Rucheng	and	跟	kɛn1	
Rucheng	the ashes	灰	xuɛi1	
Rucheng	the back	背	puɛi5	
Rucheng	bad	坏	xuai6	
Rucheng	to bark	叫	ʨiau5	
Rucheng	the bark	树皮	ɕy6 pi2	
Rucheng	to be alive	活	xuɛ1	
Rucheng	the belly	肚	t'u1	
Rucheng	below, under	下	xo̞1/ xo̞2 / xo̞6	depends on the tone of the preceding character
Rucheng	big	大	tai6	
Rucheng	the bird	禾□子	u2 ʨiau5 ʨi6	
Rucheng	to bite	咬	ŋau1	
Rucheng	black	黑	xɛ5	
Rucheng	the blood	血	ɕyɛ3	
Rucheng	to blow (of wind)	发风	fuɛ3 fuŋ1	
Rucheng	dull	□	ku1	
Rucheng	the bone	骨头	kuɛ3 təu6	
Rucheng	the branch	树枝	ɕy6 ʨi1	
Rucheng	the breast (female)	□	ɲia2	
Rucheng	the breast (female)	□□	nɛi1nɛi1	baby talk
Rucheng	to breathe	透气	t'əu3ʨ'i5	
Rucheng	to burn [transitive]	烧	sau1	
Rucheng	to buy	买	mai1	
Rucheng	to chew	嚼	ʨ'iau6	
Rucheng	the child (descendant)	细□子	sɛi5 lai3 ʨi6 /sɛi2 lai3 ʨi6 	
Rucheng	to choose	选	ɕya3	
Rucheng	to climb	爬	puɛ1	
Rucheng	the cloud	云	yn2	
Rucheng	cold (of temperature)	冷	lɛn1	
Rucheng	to come	来	lɛi2	
Rucheng	to cook	煮	ʨy3	
Rucheng	correct (right)	对	tuɛi5	
Rucheng	to count	数	su3	
Rucheng	to count	点	tia3	
Rucheng	to cry (weep)	哭	xu5	
Rucheng	to cut	切	ʨ'iɛ3	
Rucheng	to cut	割	kuɛ3	
Rucheng	to cut	剖	p'u5	
Rucheng	to cut	□	so̞5	fruits
Rucheng	the day (opposed to night)	日□	ɲiɛ3 təu6	
Rucheng	to die	死	sɿ3	
Rucheng	to dig	挖	uai1/uai3	
Rucheng	dirty	□□	la3 kua3	
Rucheng	dirty	□□	uɛ3 la3	
Rucheng	dirty	□□	p'ai5 lai6	
Rucheng	the dog	狗	kəu3	
Rucheng	the dream	发梦	fuɛ3 muŋ5	
Rucheng	the dream	梦梦	muŋ5 muŋ5	
Rucheng	to drink	饮	in3	
Rucheng	dry	干	kua1	
Rucheng	the dust	灰	xuɛi1	
Rucheng	the ear	耳朵	ɲi3 tu3	
Rucheng	the earth (soil)	泥	nɛi2	
Rucheng	to eat	食	sɿ6	
Rucheng	the egg	□子	ku3 ʨi3	
Rucheng	eight	八	pa3	
Rucheng	the eye	眼子	ŋa3 ʨi6	
Rucheng	to fall	跌	tiɛ3	
Rucheng	far	远	ya3	
Rucheng	the fat (grease)	膏	kau1	
Rucheng	the father	爸爸	pa1 pa1	address and reference
Rucheng	the father	爹	tiɛ5	address and reference
Rucheng	the father	爷	io̞2	reference
Rucheng	to fear (be afraid)	□	ɕyŋ3	
Rucheng	the feather	毛	mau2	
Rucheng	female	…婆	pu1/pu2	depends on the tone of the preceding character
Rucheng	few	点子	tia3 ʨi6	
Rucheng	few	点□子	tia3 ko̞1 ʨi6	
Rucheng	to fight	打交	to̞3 kau1	
Rucheng	the fire	火	xu3	
Rucheng	the fish	鱼子	ɲi2 ʨi1	
Rucheng	five	五	ŋ3	
Rucheng	to float	浮	pəu2	
Rucheng	to flow	流	liəu2	
Rucheng	the flower	花	xo̞1	
Rucheng	to fly (move through air)	飞	fuɛi1	
Rucheng	the fog	雾	u6	
Rucheng	the foot	脚	ʨu5	foot and leg
Rucheng	the forest	—	iɛ3	
Rucheng	four	四	sɿ5	
Rucheng	to freeze (intransitive)	结冻	ʨiɛ3 tuŋ5	
Rucheng	the fruit	水果	suɛi3 ku3	
Rucheng	full	满	mua3	
Rucheng	to give	□	no̞6	
Rucheng	good	好	xau3	
Rucheng	the grass	草	ʦ'au3	
Rucheng	green	绿	liəu6	
Rucheng	to grow	长	ʦaŋ3	
Rucheng	the hair	头发	təu2 fuɛ3	
Rucheng	the hand	手	səu3	
Rucheng	he or she [third person singular]	佢	ʨi1	
Rucheng	the head	脑壳	nau3 k'u6	
Rucheng	to hear	听	t'in5	
Rucheng	the heart	心	ɕin1	
Rucheng	heavy	重	t'yŋ1	
Rucheng	here	□子	ki2 ʨi1	
Rucheng	to hide (conceal)	□	ʨia3 	
Rucheng	to hit	打	to̞3	
Rucheng	to hit	敲	k'au2	
Rucheng	to hold	□	uɛi3	
Rucheng	the horn (keratinized skin)	角	ku5	
Rucheng	the house	屋	u5	
Rucheng	how	何子	xu2 ʨi3	
Rucheng	hundred	百	pɛ5/ po̞5	
Rucheng	to hunt	打猎	to̞3 liɛ3	
Rucheng	the husband	老公	lau3 kuŋ1	
Rucheng	I [first person singular]	□	ŋɛi1	
Rucheng	the ice	冰	pin1	
Rucheng	the intestines	肠子	tiaŋ2 ʨi1	
Rucheng	to kill	杀	sa3	
Rucheng	the knee	膝头□	ɕiɛ3 təu6 ku3	
Rucheng	to know	晓得	ɕiau3 tɛ6	
Rucheng	the lake	湖	xu2	
Rucheng	to laugh	笑	ɕiau5	
Rucheng	the leaf	叶子	iɛ1 ʨi6	
Rucheng	left	左	ʦu3	
Rucheng	the leg	腿	t'uɛi3	
Rucheng	to lick	舐	sɛi1	
Rucheng	to lie down	□	xuən5	
Rucheng	to lie, rest	休息	ɕiəu1 sɿ6	
Rucheng	the lightning	雷火	luɛi2 xu3	
Rucheng	the liver	肝(子)	kua1 (ʨi6)	
Rucheng	long	长	tiaŋ2	
Rucheng	the louse	虱婆	sɛ3 pu6	
Rucheng	male	…牯	ku3	
Rucheng	the man (male human)	男人	na2 ɲin1	
Rucheng	many	好多	xau3 tu1	
Rucheng	many	蛮多	ma2 tu1	
Rucheng	the meat	肉	ɲiəu5	
Rucheng	the moon	月□	ɲyɛ1 xau6	
Rucheng	the moon	月光	ɲyɛ1 kuaŋ1	
Rucheng	the mosquito	蚊虫	mua2 tyŋ1	
Rucheng	the mother	妈妈	ma1 ma1	address and reference
Rucheng	the mother	□	mai5	address and reference
Rucheng	the mother	娘	ɲiaŋ2	reference
Rucheng	the mountain	岭	lin1	
Rucheng	the mountain	山	sa1	
Rucheng	the mouse or rat	老鼠	lau3 ɕy3	
Rucheng	the mouth	嘴	ʦuɛi3	
Rucheng	the nail (fingernail or claw)	甲	ka3	
Rucheng	the name	名字	min2 ʨ'i6	
Rucheng	narrow	狭	xa1	
Rucheng	near	近	tɕyn1/ʦ'uən1	
Rucheng	the neck	颈项	ʨin3 saŋ1	
Rucheng	the needle (for sewing)	针	ʦɛn1	
Rucheng	new	新	ɕin1	
Rucheng	the night	夜□	io̞6 u6	
Rucheng	nine	九	ʨiəu3	
Rucheng	the nose	鼻头	pi6 təu6	
Rucheng	not	□	ŋ2	
Rucheng	old (of person)	老	lau3	
Rucheng	one	一	iɛ3	
Rucheng	to open	开	xuai1/k'ai1	
Rucheng	other	过...	ku5	
Rucheng	other	另外	lɛn6 uai6	
Rucheng	painful	痛	t'uŋ5	
Rucheng	the person	人	ɲin2	
Rucheng	to plant (vegetals, rice)	栽	ʦuai1	
Rucheng	to plant (vegetals, rice)	种	ʦuŋ5	
Rucheng	to play	搞	kau3	
Rucheng	to pull	拖	lai1	
Rucheng	to push	□	ʦ'uŋ3	
Rucheng	the rain	雨	y3	
Rucheng	red	红	xuŋ2	
Rucheng	to reside (live)	住	ty6	
Rucheng	right	右	iəu6	
Rucheng	the river	江	kaŋ1	
Rucheng	the river	河	xu2	
Rucheng	the road	路	lu6	
Rucheng	the roof	顶板头	tin3 pa3 təu2	
Rucheng	the root	根	kɛn1	
Rucheng	the rope	绳子	sən2 ʨi1	
Rucheng	rotten (of fruits)	烂	la6 	
Rucheng	round	栾	lua2	
Rucheng	to rub	擦	ʦ'a3	
Rucheng	the salt	盐	ia2	
Rucheng	the sand	沙	so̞1	
Rucheng	to say	话	o̞6	
Rucheng	to scratch	□	tsɛi1/tsɛi2	
Rucheng	the sea	海	xai3	
Rucheng	to see	□	ʦ'ɛi6	
Rucheng	to see	相	ɕiaŋ5	
Rucheng	to see	瞄	miau3	
Rucheng	the seed	籽子	ʦɛi3 ʦɛi3/ʦɛi3 ʨi6	
Rucheng	the seed	种子	ʦuŋ3 ʨi3	
Rucheng	seven	七	ʨ'iɛ3	
Rucheng	to sew	□	ləu1	
Rucheng	sharp	利	li6	
Rucheng	to shoot (an arrow)	射	so̞6	
Rucheng	short	短	tua3	
Rucheng	the shoulder	肩头□	ka1 təu6 ku3	
Rucheng	shy	□倒丑	ɕyŋ3 tau3 ʦ'əu3	
Rucheng	sick	病	pin6	
Rucheng	to sing	唱歌	ʦ'aŋ5 ku1	
Rucheng	to sit	坐	ʦ'o̞1	
Rucheng	six	六	liəu5	
Rucheng	the skin	皮	pi2	
Rucheng	the sky	天	t'ia1	
Rucheng	to sleep	困觉	xuən5 kau5	
Rucheng	to sleep	□□	ŋa3 ɲy3	
Rucheng	small	细	sɛi5	
Rucheng	to smell (perceive odor) [transitive]	嗅	ɕiəu5	
Rucheng	the smoke	烟	ia1	
Rucheng	smooth	滑	uɛ1	
Rucheng	the snake	蛇	so̞2	
Rucheng	the snow	雪	ɕyɛ3	
Rucheng	some	一□	i6 nɛ3	
Rucheng	some	点	tia3	
Rucheng	some	点子	tia3 ʨi6	
Rucheng	the spider	□□子	ləu2 k'əu1 ʨi6	
Rucheng	to spit	□	p'u5	
Rucheng	to split	劈开	p'i1 xuai1/p'i1 k'ai1	
Rucheng	to squeeze	榨	ʦo̞5	
Rucheng	to stab	□	təu3	
Rucheng	to stab	插	ʦ'a3	
Rucheng	to stab	□	ʦ'a2	
Rucheng	to stand	企	ʨ'i1	
Rucheng	the star	星宿	ɕin1 ɕiəu5	
Rucheng	to steal	偷?	lau5	
Rucheng	the stick	槌（子）	ty2 (ʨi1)	
Rucheng	the stone (a piece of)	石头（□）	sɿ6 təu6 (ku3)	
Rucheng	the stone (a piece of)	石眼	sɿ6 ŋa3	
Rucheng	the stone (a piece of)	石□	sɿ6 ku3	
Rucheng	straight	直	tɕ'i6	
Rucheng	to suck	噘？	ʨyɛ2	
Rucheng	the sun	日头	ɲiɛ3 təu6	
Rucheng	to swell	肿	ʦuŋ3	
Rucheng	to swell	□	iaŋ5	
Rucheng	to swim	游泳	iəu2 yŋ3	
Rucheng	the tail	尾巴	muɛi1 po̞1	
Rucheng	ten	十	sɛ1	
Rucheng	that	那个	naŋ2 kɛi5	
Rucheng	there	那子	naŋ2 ʨi1	
Rucheng	they [third person plural]	佢□	ʨi1 no̞3 	
Rucheng	thick	厚	xəu1	
Rucheng	thin	薄	pu6	
Rucheng	to think (reflect)	想	ɕiaŋ3	
Rucheng	to think (reflect)	拟	ɲi3	
Rucheng	this	咯个	ki2 kɛi5	
Rucheng	thou [second person singular]	□	ŋ1	
Rucheng	three	三	sa1	
Rucheng	to throw	扔	lɛ3	
Rucheng	to throw	□	xɛ3	
Rucheng	to throw	丢	tiəu1	
Rucheng	the thunder	雷公	luɛi2 kuŋ1	
Rucheng	to tie (together)	绑	paŋ3	
Rucheng	the tongue	舌头	sɛ1 təu6	
Rucheng	the tooth (front)	牙齿	ŋo̞2 ʨ'i3	
Rucheng	the tree	树	ɕy6	
Rucheng	to turn (around)	转	ʦ'ua6	
Rucheng	twenty	二十	ɲi6 sɛ1	
Rucheng	two	二	ɲi6	
Rucheng	to vomit	呕	əu3	
Rucheng	to walk	行	xaŋ2	
Rucheng	warm (hot)	热	ɲiɛ1	
Rucheng	to wash	洗	sɛi3	
Rucheng	the water	水	suɛi3	
Rucheng	we [first person plural inclusive]	□□	ŋɛi1 no̞3	
Rucheng	we [first person plural inclusive]	□几	ŋɛi1 ʨi3	
Rucheng	wet	湿	sɛ3	
Rucheng	what	□样	lai2 iaŋ6	
Rucheng	when	□刻子	lai2 k'ɛ5 ʨi6 	
Rucheng	when	□样时候/□样时几	lai2 iaŋ6 sɿ2 xəu6	
Rucheng	when	□样时几	lai2 iaŋ6 sɿ6 ʨi3	
Rucheng	where	□□	lai2 ʨi1	
Rucheng	where	□样地方	lai2 iaŋ6 ti6 faŋ1	
Rucheng	where	□样□□	lai2 iaŋ6 tu6 tiaŋ1	
Rucheng	white	白	po̞6	
Rucheng	who	□个	lai2 kɛi5	
Rucheng	wide	宽	k'ua1	
Rucheng	the wife	夫娘	fu1 ɲiaŋ6	
Rucheng	the wind	风	fuŋ1	
Rucheng	the wing	翅膀	ʨi5 pa6	
Rucheng	the woman	女人	ɲy3 ɲin6	
Rucheng	the wood (material)	木头	mu5 təu6	
Rucheng	the work	做事	ʦu5 sɿ6	
Rucheng	the worm	□子	ɕya3 ʨi3	
Rucheng	to yawn	□□	xuai1 ɕia5	
Rucheng	the year	年	ɲia2	
Rucheng	yellow	黄	uaŋ2	
Rucheng	you [second person plural]	□□	ŋ1 no̞3	
Rucheng	you [second person plural]	□几	ŋ1 ʨi3	
