NUMBER	GLOSS	CINDEX	CGLOSS	MATCH_QUALITY
7064	above	0	???	8

1173416	all	999	all / even	2

6464	and	0	???	8

6078	at	0	???	8

5650	bad	861	bad	1

514093	because	0	???	8

6199	below, under	0	???	8

5437	big	800	big	1

1341728	black	841	black	1

5639	cold (of temperature)	884	cold	2

7026	correct (right)	625	correct / change	2

5483	dirty	854	dirty	1

5989	dry	864	dry	1
5989	dry	749	dry in the sun	6
5989	dry	964	dry measure / pint	6
5989	dry	965	dry measure / peck / =10 shÄ“ng	6
5989	dry	631	dry (clothes) near fire	6

5988	dull	0	???	8

7005	eight	918	eight	1

5997	far	817	far	1

5619	fat (obese)	850	fat (meat)	2

6393	female	0	???	8

5500	few	820	little / few	2

156104	five	915	five	1

6253	four	914	four	1

6040	full	846	full	1
6040	full	896	full / satiated	2

443659	good	860	good	1

6032	green	842	green	1

5454	he or she [third person singular]	976	he / she	2

5451	heavy	830	heavy	1

1287831	here	982	here	1

5494	how	989	how many / much	6

6685	hundred	939	hundred	1
6685	hundred	942	hundred million	6

5450	I [first person singular]	969	I	2

6076	if	0	???	8

6077	in	564	hold (baby) in arms	6
6077	in	749	dry in the sun	6
6077	in	538	hold in mouth	6

5873	knife	409	knife	1
5873	knife	635	mince (meat) with knife	5

1499731	left	53	left	1

5438	long	809	long	1
5438	long	954	classifier for long, thin obje	6
5438	long	953	classifier for long objects	6

6396	male	0	???	8

5423	many	819	many / much	2

5566	narrow	816	narrow	1

869106	near	818	near	1
869106	near	632	warm (oneself) near fire	6
869106	near	631	dry (clothes) near fire	6

5484	new	866	new	1
5484	new	685	celebrate new year	6
5484	new	591	move something to a new place	6

6193	nine	919	nine	1

5495	not	828	slanting, not upright	6

5936	now	106	now	1
5936	now	990	just now	6
5936	now	108	from now on	6

5482	old (of person)	857	old (of people)	2

6244	one	911	one	1

1406403	other	0	???	8

496633	painful	0	???	8

1333710	red	837	red	1

436024	right	54	right	1
436024	right	827	right, just, upright	2
436024	right	902	right / correct	2
436024	right	993	immediately / right away	5

7031	rotten (of fruits)	0	???	8

5984	round	807	round	1

7004	seven	917	seven	1

5987	sharp	870	sharp	1

6746	short	810	short	1

155571	shy	0	???	8

7800	sick	776	ill / sick	2

7003	six	916	six	1

5509	small	801	small	1

5487	smooth	882	smooth	1

5499	some	0	???	8

5994	straight	821	straight	1

6312	ten	920	ten	1
6312	ten	941	ten thousand	6

1149393	that	983	that	1

194	the animal	0	???	8

264	the ashes	472	ashes	3

5648	the back	258	back (of body)	3
5648	the back	52	back (direction)	3
5648	the back	739	return / go back	5
5648	the back	676	take back / put away	5
5648	the back	575	carry on back	6

5439	the bark	783	bark (verb)	3

5516	the belly	260	belly	3

400	the bird	142	bird	3

411	the blood	268	blood	3

5983	the bone	0	???	8

6343	the branch	225	branch	3

5992	the breast	259	breast	3

7413	the child (descendant)	295	child	3

623	the cloud	6	cloud	3

5477	the day (opposed to night)	96	day, fifth of month	3
5477	the day (opposed to night)	94	day, first of month	3
5477	the day (opposed to night)	99	day, sixteenth of month	3
5477	the day (opposed to night)	100	day, twentieth of month	3
5477	the day (opposed to night)	97	day, eleventh of month	3
5477	the day (opposed to night)	98	day, fifteenth of month	3
5477	the day (opposed to night)	101	day, thirtieth of month	3
5477	the day (opposed to night)	102	day(time)	3
5477	the day (opposed to night)	88	day (24 hours)	3
5477	the day (opposed to night)	95	day, third of month	3
5477	the day (opposed to night)	93	day after tomorrow	6
5477	the day (opposed to night)	91	day before yesterday	6

966	the dog	119	dog	3

8448	the dream	519	dream	3

1009	the dust	0	???	8

5510	the ear	241	ear	3
5510	the ear	229	ear (of grain-producing plant)	3

5481	the earth (soil)	31	earth	3
5481	the earth (soil)	17	earth	3

340828	the egg	170	egg	3

5511	the eye	238	eye	3

5624	the fat (grease)	850	fat (meat)	3
5624	the fat (grease)	849	fat (of people)	3

5464	the father	319	father	3

5436	the feather	173	feather	3

1446	the fire	45	fire	3
1446	the fire	632	warm (oneself) near fire	5
1446	the fire	631	dry (clothes) near fire	5

1460	the fish	151	fish	3

1487	the flower	228	flower	3

1502	the fog	12	fog	3

5672	the foot	962	foot (measure)	3
5672	the foot	263	foot	3

1533	the forest	0	???	8

6280	the fruit	213	fruit	3
6280	the fruit	790	bear fruit	5

1675	the grass	218	grass	3

446278	the hair	172	hair / fur	3
446278	the hair	234	hair of head	6

5616	the hand	251	hand	3

5527	the head	232	head	3
5527	the head	234	hair of head	5
5527	the head	369	scarf for the head / turban	6

5475	the heart	272	heart	3

5981	the horn (keratinized skin)	176	horn	3

5517	the house	348	house	3

5432	the husband	337	husband	3

1837	the ice	11	ice	3

950344	the intestines	271	intestines	3

5918	the knee	0	???	8

2061	the lake	20	lake	3

2124	the leaf	224	leaf	3

5665	the leg	264	leg	3

6811	the lightning	0	???	8

5476	the liver	273	liver	3

5980	the louse	162	louse	3

6397	the man (male human)	290	man (male person)	3
6397	the man (male human)	293	young man	6

2300	the meat	399	meat / flesh	3

5729	the moon	3	moon	3

630453	the mosquito	165	mosquito	3
630453	the mosquito	384	mosquito net	5

5463	the mother	320	mother	3

2421	the mountain	25	mountain	3

6233,6237	the mouse or rat	134	rat / mouse	3

332000	the mouth	242	mouth	3
332000	the mouth	538	hold in mouth	5
332000	the mouth	544	blow with mouth	5
332000	the mouth	507	mouth organ	6

828575	the nail (fingernail or claw)	360	nail (tool)	3
828575	the nail (fingernail or claw)	0	???	8

5995	the name	517	name	3

5823	the neck	248	neck	3

5951	the needle (for sewing)	420	needle	3

5486	the night	105	night	3

5471	the nose	240	nose	3

333730	the person	289	person	3
333730	the person	301	deaf person	5
333730	the person	304	lame person	5
333730	the person	292	old person	5
333730	the person	303	mad person	5
333730	the person	300	blind person	5

3100	the rain	8	rain	3
3100	the rain	750	rain (verb)	3

3253	the river	18	river	3

3258	the road	474	road / way	3

344031	the roof	0	???	8

3269	the root	222	root	3

5465	the rope	422	rope	3

5599	the salt	398	salt	3

3305	the sand	43	sand	3

6154	the sea	19	sea	3

3361	the seed	220	seed	3

6186	the shoulder	250	shoulder	3
6186	the shoulder	593	carry on shoulder	5

3430	the skin	266	skin	3
3430	the skin	603	skin / flay (verb)	3

7039	the sky	1	sky	3

3451	the smoke	46	smoke	3

3388	the snake	152	snake	3

3455	the snow	9	snow	3

3588	the spider	159	spider	3

6041	the star	4	star	3

5662	the stick	429	stick	3
5662	the stick	626	paste / glue / stick	3
5662	the stick	639	insert / stick into	5

3633	the stone (a piece of)	227	stone / pit	3
3633	the stone (a piece of)	42	stone / rock	3

5850	the sun	2	sun	3
5850	the sun	749	dry in the sun	5

5468	the tail	177	tail	3

509787	the thunder	755	thunder (verb)	3
509787	the thunder	5	thunder	3

5440	the tongue	245	tongue	3

5946	the tooth (front)	244	tooth	3

3854	the tree	178	tree	3

4118	the water	599	water (verb)	3
4118	the water	10	water	3
4118	the water	110	water buffalo	6

5429	the wife	338	wife	3

4160	the wind	7	wind	3

5528	the wing	171	wing	3

4165	the woman	291	woman	3
4165	the woman	294	young woman	5

741520	the wood (material)	469	wood	3

471303	the work	585	work / labor	3

5466	the worm	169	insect / worm	3

5478	the year	67	year, next	3
5478	the year	64	year / age	3
5478	the year	65	year, this	3
5478	the year	63	year	3
5478	the year	66	year, last	3
5478	the year	685	celebrate new year	6
5478	the year	69	year after next	6
5478	the year	68	year before last	6

858309	there	984	there	1

352331	they [third person plural]	978	they	2

5503	thick	844	thick	1
5503	thick	813	thick	1
5503	thick	811	thick	1

5990	thin	814	thin	1
5990	thin	845	thin (watery)	2
5990	thin	852	thin (of people)	2
5990	thin	812	thin (slender)	2
5990	thin	954	classifier for long, thin obje	6

5458	this	981	this	1
5458	this	65	year, this	2

5459	thou [second person singular]	0	???	8

156096	three	913	three	1

5444	to bark	783	bark (verb)	2

6028	to be alive	781	alive	3

5993	to bite	535	bite	3

1375415	to blow (of wind)	753	blow (of wind)	3
1375415	to blow (of wind)	544	blow with mouth	6

5998	to breathe	0	???	8

6039	to burn [intransitive]	0	???	8

1299599	to burn [transitive]	0	???	8

8061	to buy	616	buy	3

1510493	to chew	536	chew	3

7084	to choose	0	???	8

479387	to climb	0	???	8

6056	to come	737	come	3

479132	to cook	627	cook / boil (rice)	3

6026	to count	618	count	3

7709	to cry (weep)	547	cry out / yell	6

6043	to cut	634	cut (vegetable)	2

6245	to die	780	die	3

6024	to dig	597	dig	3

5991	to drink	534	drink	3

5827	to eat	533	eat	3

5622	to fall	577	fall (down)	3
5622	to fall	764	drop / fall	3

6025	to fear (be afraid)	730	fear	3

6030	to fight	709	fight	3

6457	to float	758	float	3

961244	to flow	756	flow	3

6052	to fly (move through air)	782	fly (verb)	2

6042	to freeze (intransitive)	0	???	8

6059	to give	774	birth, give	3
6059	to give	694	give / send / deliver	3
6059	to give	702	give out / distribute	5

154737	to grow	775	grow	3

5999	to hear	0	???	8

161806	to hide (conceal)	668	hide	3

6044	to hit	710	hit / beat	3
6044	to hit	689	hit (target)	3

6060	to hold	551	grip / hold	3
6060	to hold	564	hold (baby) in arms	6
6060	to hold	795	hold a meeting	6
6060	to hold	538	hold in mouth	6

6046	to hunt	686	hunt	3

6023	to kill	633	kill	3

6004	to know	722	know	3
6004	to know	732	know (a language) / can / be abl	3

5876	to laugh	717	laugh	3

1510483	to lick	537	lick	3

1425860	to lie down	0	???	8

6005	to lie, rest	0	???	8
6005	to lie, rest	581	rest	3

513017	to open	658	open (door)	3
513017	to open	531	open (eye)	3
513017	to open	659	open (lid)	3
513017	to open	636	cut open (fish)	5
513017	to open	550	strike with open palm	6

619975	to plant	598	plant (verb)	2

6010	to play	680	play	3

6071	to pull	562	pull	3
6071	to pull	606	pull (out)	3

6068	to push	563	push	3

478515	to reside (live)	0	???	8

6062	to rub	643	rub (to soften animal skin)	3

6075	to say	545	say / speak	3

6047	to scratch	555	scratch	3

6003	to see	529	see	3

6073	to sew	0	???	8

522875	to shoot (an arrow)	688	shoot	3
522875	to shoot (an arrow)	184	bamboo shoot	6

5540	to sing	683	sing	3

6022	to sit	574	sit	3

6519	to sleep	582	sleep	3

6520	to smell (perceive odor) [transitive]	548	smell (verb)	2

6051	to spit	542	spit	3

6048	to split	0	???	8

6017	to squeeze	0	???	8

6045	to stab	0	???	8

6053	to stand	569	stand	3

336072	to steal	715	steal	3

6027	to suck	0	???	8

6454	to swell	0	???	8

6050	to swim	0	???	8

6021	to think (reflect)	727	think	3

6072	to throw	558	throw	3

844574	to tie (together)	664	tie (e.g. firewood)into a bund	6

6055	to turn (around)	0	???	8

5617	to vomit	543	vomit	3

6054	to walk	572	walk	3

6069	to wash	648	wash (hand)	3
6069	to wash	649	wash (clothes)	3

6070	to wipe	624	wipe	3

441371	to yawn	0	???	8

7013	twenty	930	twenty	1

6248	two	912	two	1
6248	two	970	we two	5
6248	two	974	you two	5
6248	two	977	they two	6

5485	warm (hot)	885	warm	2

5455	we [first person plural]	971	we	2

7027	wet	865	wet	1

5491	what	986	what	1

5493	when	0	???	8

5492	where	988	where	1

5825	white	840	white	1

5490	who	985	who	1

5502	wide	815	wide	1

5844	with	544	blow with mouth	6
5844	with	550	strike with open palm	6
5844	with	635	mince (meat) with knife	6
5844	with	952	classifier for objects with ha	6

6031	yellow	838	yellow	1

5456	you [second person plural]	973	you (sg.)	2

