NUMBER	GLOSS	CINDEX	CGLOSS	MATCH_QUALITY	RELATION	NOTE		
7064	above	0731	over / above	2	similar	(since both glosses are very similar, we denote this by putting the “simialr” in the RELATION column, @Mattis)		
								
1173416	all	0962	all / everything	2	similar	(see above, @Mattis)		
								
6464	and	0825	one hundred and one	6	remove	(remove the complete line, since the relation is wrong, if you can find a better word in the spreadsheet, you can add it (along with the key code), otherwise, remove the lines completely, or leave one line in which the CINDEX-cell has 0000 and teh CGLOSS-cell has ???, so that I know you didn't find anything)		
6464	and	1724	admire and envy (verb)	6	remove			
6464	and	1119	safe and sound	6	remove			
6464	and	1236	separated accidentally and lose contact with, get (verb)	6	remove			
6464	and	1589	look at and distinguish (characters) (verb)	6	remove			
6464	and	1320	divide family property and live apart (offspring) (verb)	6	remove			
								
6078	at	0752	night, at / evening, in the	2	remove	(here, you could try to find, whether “at” is in the source, if not, leave it with “remove”, or alternatively, change the cell in CINDEX to 0000 and the cell in CGLOSS to ???, this will be equivalent)		
								
5650	bad	1053	bad	1				
								
514093	because	0000	???	8	none	(“none” means, that we couldn't find any gloss)	(n means “none”, if you can't find an entry)	 
								
6199	below, under	0732	below / under	2				
								
5437	big	0964	big / large	2	narrower	(apart from “similar”, we have the two relations “narrower” and “broader”, here, it is “narrower”, since the gloss “big” is narrower than “big / large”)		
								
1341728	black	1005	black	1				
								
5639	cold (of temperature)	1063	cold (weather, water)	2				
								
7026	correct (right)	1045	right / correct	2				
								
5483	dirty	1086	dirty	1				
								
5989	dry	1028	dry	1				
								
5988	dull	1021	blunt / dull	2				
								
7005	eight	0804	eight	1				
								
5997	far	0974	far / distant	2				
								
5619	fat (obese)	1025	fat (pig)	2				
								
6393	female	0000	???	8				
								
5500	few	0924	several / few, a	2				
								
156104	five	0801	five	1				
								
6253	four	0800	four	1				
								
6040	full	0984	full	1				
								
443659	good	1052	good	1				
								
6032	green	1009	green	1				
								
5454	he or she [third person singular]	0934	he	2	broader			
5454	he or she [third person singular]	0000	???	8				
								
5451	heavy	1014	heavy	1				
								
1287831	here	0944	here	1				
								
5494	how	0957	how	1				
								
6685	hundred	0824	hundred	1				
								
5450	I [first person singular]	0928	I	2				
								
6076	if	0000	???	8				
								
6077	in	0784	ancient times, in	2				
								
5873	knife	0549	knife (noun)	2				
								
1499731	left	0710	left	1				
								
5438	long	0972	long	1				
								
6396	male	0000	???	8				
								
5423	many	0987	many / much	2				
								
5566	narrow	0977	narrow	1				
								
869106	near	0975	near	1				
								
5484	new	1050	new	1				
								
6193	nine	0805	nine	1				
								
5495	not	1519	have, do not (verb)	5				
								
5936	now	0744	three days from now	6				
								
5482	old (of person)	1051	used / old	2				
								
6244	one	0797	one	1				
								
1406403	other	1343	on the other side (of a riv (verb)	5				
								
496633	painful	0000	???	8				
								
1333710	red	1007	red	1				
								
436024	right	0711	right	1				
								
7031	rotten (of fruits)	0000	???	8				
								
5984	round	0000	???	8				
								
7004	seven	0803	seven	1				
								
5987	sharp	1020	sharp	1				
								
6746	short	0973	short	1				
								
155571	shy	1365	shy, be / bashful (verb)	2				
								
7800	sick	0000	???	8				
								
7003	six	0802	six	1				
								
5509	small	0965	small	1				
								
5487	smooth	1037	smooth / glossy / sleek	2				
								
5499	some	0923	some	1				
								
5994	straight	1003	straight	1				
								
6312	ten	0806	ten	1				
								
1149393	that	0947	that	1				
								
194	the animal	0303	animal / beast (noun)	3				
								
264	the ashes	0000	???	8				
								
5648	the back	0091	back (noun)	3				
								
5439	the bark	1432	bark (verb)	3				
								
5516	the belly	0096	belly (noun)	3				
								
400	the bird	0326	bird (noun)	3				
								
411	the blood	0129	blood (noun)	3				
								
5983	the bone	0133	bone (noun)	3				
								
6343	the branch	0374	branch / twig (noun)	3				
								
5992	the breast	0094	breast (noun)	3				
								
7413	the child (descendant)	0169	child (noun)	3				
								
623	the cloud	0007	cloud (noun)	3				
								
5477	the day (opposed to night)	0769	day (first of lunar month) (noun)	3				
								
966	the dog	0289	dog (noun)	3				
								
8448	the dream	1821	dream (verb)	3				
								
1009	the dust	0045	dust (noun)	3				
								
5510	the ear	0081	ear (noun)	3				
								
5481	the earth (soil)	0022	earth / ground (noun)	3				
								
340828	the egg	0450	egg (noun)	3				
								
5511	the eye	0079	eye (noun)	3				
								
5624	the fat (grease)	1024	fat	3				
								
5464	the father	0218	father (noun)	3				
								
5436	the feather	0299	feather / plume (noun)	3				
								
1446	the fire	1231	fire (a shot)	3				
								
1460	the fish	1276	fish (verb)	3				
								
1487	the flower	0377	flower (noun)	3				
								
1502	the fog	0016	fog (noun)	3				
								
5672	the foot	0900	foot (=1 / 3 meter)	3				
								
1533	the forest	0050	forest (noun)	3				
								
6280	the fruit	0378	fruit (noun)	3				
								
1675	the grass	0436	grass (noun)	3				
								
446278	the hair	0266	hair / down (noun)	3				
								
5616	the hand	0107	hand (noun)	3				
								
5527	the head	0074	head (noun)	3				
								
5475	the heart	0144	heart (noun)	3				
								
5981	the horn (keratinized skin)	0263	horn (noun)	3				
								
5517	the house	0494	house (noun)	3				
								
5432	the husband	0247	husband (noun)	3				
								
1837	the ice	0017	ice (noun)	3				
								
950344	the intestines	0000	???	8				
								
5918	the knee	0101	knee (noun)	3				
								
2061	the lake	0031	lake (noun)	3				
								
2124	the leaf	0376	leaf (noun)	3				
								
5665	the leg	0000	???	8				
								
6811	the lightning	1606	lightning (verb)	3				
								
5476	the liver	0145	liver (noun)	3				
								
5980	the louse	0356	louse (noun)	3				
								
6397	the man (male human)	0173	man (noun)	3				
								
2300	the meat	0444	meat (lean) (noun)	2				
								
5729	the moon	0004	moon (noun)	3				
								
630453	the mosquito	0360	mosquito (noun)	3				
								
5463	the mother	0219	mother (noun)	3				
								
2421	the mountain	0023	hill / mountain (noun)	3				
								
6233,6237	the mouse or rat	0320	mouse (noun)	3				
6233,6237	the mouse or rat	0000	???	8				
								
332000	the mouth	0084	mouth (noun)	3				
								
828575	the nail (fingernail or claw)	0113	nail (noun)	3				
828575	the nail (fingernail or claw)	0000	???	8				
								
5995	the name	0686	surname / name (family) (noun)	3				
								
5823	the neck	0089	neck (noun)	3				
								
5951	the needle (for sewing)	0578	needle (noun)	3				
								
5486	the night	0752	night, at / evening, in the	3				
								
5471	the nose	0080	nose (noun)	3				
								
333730	the person	0206	person w / pockmarked face (noun)	5				
								
3100	the rain	0010	rain (noun)	3				
								
3253	the river	0030	river (noun)	3				
								
3258	the road	0038	road (noun)	3				
								
344031	the roof	0495	roof (noun)	3				
								
3269	the root	0375	root (noun)	3				
								
5465	the rope	0619	rope / string (noun)	3				
								
5599	the salt	0061	salt (noun)	3				
								
3305	the sand	0044	sand (noun)	3				
								
6154	the sea	0032	sea (noun)	3				
								
3361	the seed	0405	seed (noun)	3				
								
6186	the shoulder	0090	shoulder (noun)	3				
								
3430	the skin	0265	skin (noun)	3				
								
7039	the sky	0001	sky (noun)	3				
								
3451	the smoke	1743	smoke / fumigate (verb)	3				
								
3388	the snake	0347	snake (noun)	3				
								
3455	the snow	0012	snow (noun)	3				
								
3588	the spider	0361	spider (noun)	3				
								
6041	the star	0005	star (noun)	3				
								
5662	the stick	0586	rod / stick (noun)	3				
								
3633	the stone (a piece of)	0043	stone (noun)	3				
								
5850	the sun	0002	sun (noun)	3				
								
5468	the tail	0267	tail (noun)	3				
								
509787	the thunder	0008	thunder (noun)	3				
								
5440	the tongue	0139	tongue (noun)	3				
								
5946	the tooth (front)	0137	tooth (noun)	3				
								
3854	the tree	0372	tree (noun)	3				
								
4118	the water	0047	water (noun)	3				
								
5429	the wife	0248	wife (noun)	3				
								
4160	the wind	0009	wind (noun)	3				
								
5528	the wing	0298	wing (noun)	3				
								
4165	the woman	0174	woman (noun)	3				
								
741520	the wood (material)	0511	wood / log (noun)	3				
								
471303	the work	1336	work / labor (verb)	3				
								
5466	the worm	0353	insect / worm (noun)	3				
								
5478	the year	0777	year (noun)	3				
								
858309	there	0950	there	1				
								
352331	they [third person plural]	0936	they	2				
								
5503	thick	0980	thick	1				
								
5990	thin	1026	thin	1				
								
5458	this	0942	this	1				
								
5459	thou [second person singular]	0000	???	8				
								
156096	three	0799	three	1				
								
5444	to bark	1432	bark (verb)	2				
								
6028	to be alive	1396	alive, become / active (verb)	3				
								
5993	to bite	1279	bite (mosquito) (verb)	2				
								
1375415	to blow (of wind)	1738	blow (one's nose) (verb)	2				
								
5998	to breathe	0000	???	8				
								
6039	to burn [intransitive]	1662	scald / burn (the hand) (verb)	2				
								
1299599	to burn [transitive]	1662	scald / burn (the hand) (verb)	2				
								
8061	to buy	1516	buy (verb)	2				
								
1510493	to chew	1424	chew (verb)	2				
								
7084	to choose	1675	choose / pick (verb)	3				
								
479387	to climb	1538	climb (a mountain) (verb)	2				
								
6056	to come	1491	come (verb)	2				
								
479132	to cook	1804	cook / boil (verb)	3				
								
6026	to count	1640	count (numbers) (verb)	2				
								
7709	to cry (weep)	1485	cry (verb)	2				
								
6043	to cut	1296	chop / cut (meat) (verb)	2				
								
6245	to die	1651	die (verb)	2				
								
6024	to dig	1698	dig / scoop out (verb)	3				
								
5991	to drink	1370	drink (verb)	2				
								
5827	to eat	1198	eat	3				
								
5622	to fall	1719	fall (rain) (verb)	2				
								
6025	to fear (be afraid)	0000	???	8				
								
6030	to fight	1234	fight (verb)	2				
								
6457	to float	1553	float (verb)	2				
								
961244	to flow	1502	flow (of water) (verb)	2				
								
6052	to fly (move through air)	1318	fly (verb)	2				
								
6042	to freeze (intransitive)	1283	freeze (meat) (verb)	2				
								
6059	to give	1345	give (verb)	2				
								
154737	to grow	1619	grow (a boil) (verb)	2				
								
5999	to hear	1682	hear (verb)	2				
								
161806	to hide (conceal)	1169	hide (sthg.)	3				
								
6044	to hit	1232	hit, have (the target)	3				
								
6060	to hold	1709	hold (a pen) (verb)	2				
								
6046	to hunt	1230	hunt	3				
								
6023	to kill	1602	kill (verb)	2				
								
6004	to know	1392	know (to write) (verb)	2				
								
5876	to laugh	1735	laugh / smile (verb)	3				
								
1510483	to lick	1674	lick / lap (verb)	3				
								
1425860	to lie down	1661	lie down (verb)	2				
								
6005	to lie, rest	1661	lie down (verb)	6				
6005	to lie, rest	1740	rest (verb)	2				
								
513017	to open	1246	open (verb)	2				
								
619975	to plant	1774	plant (trees) (verb)	2				
								
6010	to play	1703	play / amuse oneself (verb)	3				
								
6071	to pull	1568	pull / lead (a cow) along (verb)	3				
								
6068	to push	1689	push / shove (verb)	3				
								
478515	to reside (live)	1452	live / reside (verb)	2				
								
6062	to rub	0000	???	8				
								
6075	to say	0000	???	8				
								
6047	to scratch	1530	scratch (an itch) (verb)	2				
								
6003	to see	1472	see ( a doctor) (verb)	2				
								
6073	to sew	1324	sew (up) (verb)	2				
								
522875	to shoot (an arrow)	1611	shoot (an arrow) (verb)	2				
								
5540	to sing	1184	sing	3				
								
6022	to sit	1819	sit down (verb)	6				
								
6519	to sleep	1646	sleep (verb)	2				
								
6520	to smell (perceive odor) [transitive]	1707	smell (verb)	2				
								
6051	to spit	1688	spit (verb)	2				
								
6048	to split	1557	split up (bamboo pole) (verb)	4				
								
6017	to squeeze	1405	squeeze (for milk) (verb)	2				
								
6045	to stab	1778	stick into / stab (verb)	2				
								
6053	to stand	1784	stand (verb)	2				
								
336072	to steal	1686	steal (verb)	2				
								
6027	to suck	1648	suck (verb)	2				
								
6454	to swell	1549	expand / swell (verb)	2				
								
6050	to swim	1763	swim (verb)	2				
								
6021	to think (reflect)	1726	think (verb)	2				
								
6072	to throw	1687	throw / hurl (verb)	3				
								
844574	to tie (together)	1645	tie (a cow) to (verb)	4				
								
6055	to turn (around)	1808	turn (round and round) (verb)	2				
								
5617	to vomit	1535	throw up / vomit (verb)	2				
								
6054	to walk	1815	walk (verb)	2				
								
6069	to wash	1713	wash (clothes) (verb)	2				
								
6070	to wipe	1163	wipe (the table)	3				
								
441371	to yawn	1243	yawn (verb)	2				
								
7013	twenty	0816	twenty	1				
								
6248	two	0798	two	1				
								
5485	warm (hot)	1065	warm	2				
								
5455	we [first person plural]	0929	we (two)	2				
								
7027	wet	1029	wet	1				
								
5491	what	0954	what	1				
								
5493	when	0956	when	1				
								
5492	where	0955	where	1				
								
5825	white	1006	white	1				
								
5490	who	0953	who	1				
								
5502	wide	0966	wide (in diameter) / coarse	2				
								
5844	with	1237	overthrow / down with (verb)	5				
								
6031	yellow	1008	yellow	1				
								
5456	you [second person plural]	0931	you	2				
