ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	above	5003	upper part, above, overhead	4
2	all	2763	all, completely (<H jəmma all + -ʔəy emphatic)	4
2	all	2846	all, completely	4
3	the ant	746	ant (sp.), small black ant with several varieties	4
4	the armpit	71	armpit	4
5	bad	8547	evil or bad (esp. speech, description), unpleasant, call by bad name	4
5	bad	6980	ugly, bad, evil (esp. talk), be corrupted, in bad condition, be unlucky, ruined	4
5	bad	7049	ugly, inauspicious, bad, evil	4
6	the bamboo	6876	bamboo (sp.) (B)	4
7	the barley (tibetan or highland)		!	
8	to be alive	8104	well, alive	4
9	the belly	6662	belly, stomach (B)	4
10	below, under	3245	underneath, beneath or below (place)	4
11	big	5776	big (esp. in height, length), large	4
12	the bird	6328	bird (sp.)	4
13	to bite	2774	bite (not insect bites)	4
14	black	3305	very dark, black	4
14	black	1501	black, dark	4
15	the blood	7675	blood (B)	4
16	to blow (of wind)		!	
17	the body hair (hair or fur)	6343	hair of body, fur, body feathers; weeds (ext.)	4
18	the bone	6651	bone (long), upper bone of arm, leg	4
18	the bone	9016	bone; hard matter in animal, tree	4
19	the branch		!	
20	the breast (female)	4095	milk, breast, white fluid (<N dudh)	4
21	to burn [intransitive]	8324	scorch, burn	4
22	to buy	7411	get, obtain (with effort, cost, intentionally), buy	4
23	to chew		!	
24	the child (young human)	8487	younger brother, younger cousin, child (gen.)	4
25	the cloud	6309	cloud, fog	4
26	cold (of temperature)	3078	cold (weather, person)	4
27	to come	7645	come	4
28	correct (right)	2200	correct, sound, sensible (words)	4
29	to count	3776	drop off, pull off one by one (petals, etc.); name one by one; count, tally, take account of (ext.)	4
30	to cry (weep)	1014	cry, weep	4
31	dark	9011	dark	2
31	dark	2464	dark	2
32	the daughter	2418	daughter	4
33	the dew	7994	dew (<N)	4
34	to die	7936	die	4
35	to dig	4252	dig (with instrument, esp. a digging stick)	4
36	dirty	9	untidy, dirty	4
37	the dog	637	dog	4
38	the dream	6178	dream (B)	4
39	to drink	3363	drink, imbibe, suck fruit, smoke (cigarette, etc.)	4
40	dry	8150	dry	2
41	the dust	7846	dust	4
42	the ear	4674	ear	4
43	early	7771	early (<N sabera)	4
44	the earth (soil)	7840	earth, soil, ground; floor (ext.)	4
45	the earthworm	3983	earthworm	4
46	to eat	2883	eat, consume, take in; gnawing (pain) (met.)	4
47	the egg	7622	egg (of bird)	4
47	the egg	230	egg	4
48	eight	4587		
49	the eye	6225	eye; gap, small hole (met.)	4
50	far	7460	distant, far, long (story, etc.); be gone, deceased (ext.)	4
51	the father	91	father	4
52	the feather	5419	feather, large wing pinion	4
53	to fight	6249	attack, fight	4
54	the fire	6442	fire (B)	4
54	the fire	8896	fire	4
55	firewood		!	
56	the fish	2054	fish (gen.)	4
57	five	5035	five	2
57	five	5036	five	2
58	the flea	8951	flea	4
59	to float	2515	float	4
60	to flow	8688	flow, stream, run (liquid)	4
61	the flower	6984	flower (gen.); effulgence, outward-spreading manifestation (ext.)	4
62	to fly (move through air)	8300	fly	4
63	the fog	6309	cloud, fog	4
64	the foot	4215	foot (ch.)	4
64	the foot	4207	leg, foot	4
65	the forest	2755	forest, wilderness (<N)	4
65	the forest	7990	forest, woodland, jungle	4
66	to forget	8897	forget	4
66	to forget	8298	forget	4
67	four	5233	four	2
67	four	5232	four	2
68	the fox		!	
69	the frog	5732	frog (sp.), bullfrog, large, green or gray back, yellow legs, mud-living	4
69	the frog	5995	frog (sp.) (B)	4
70	the front (front side)	8761	in front, ahead	4
71	the frost		!	
72	the fruit	2703	pare vegetable, fruit	4
73	full	4248	full	2
76	good	3796	generous, good	4
76	good	4247	good (B)	4
76	good	2969	well brewed, not sour (beer), be good (person)	4
77	the grass	6771		3
78	green	5252	green, blue	4
79	the hail	7729	hail	4
79	the hail	6688	hail (B)	4
80	the hair (of the head)	6402	hair (B)	4
81	the hand	944	arm, hand, tendril	4
82	hard	8108	hard, dry, shrunken	4
83	he or she [third person singular]		!	
84	the head	3171	head	4
84	the head	4999	head (WD)	4
85	to hear	7890	hear, listen, obey; perceive, test, feel (within oneself) (with Reflexive), understand to be case	4
86	the heart	9172	heart; centre of feeling in body	4
87	heavy	7323	heavy, weighty; weigh down; be difficult (met.)	4
88	here	186	here	2
89	to hide (conceal)	4636	hide, conceal object	4
90	high / tall	2486	tall (relatively), surpass, stand out (in height)	4
90	high / tall	2686	high, tall (B)	4
91	to hold	4358	hold, grab	4
92	the hoof	4212	hoof	4
93	horizontal	1138	lean outward, be horizontal (large tree, branch)	4
94	the horn (keratinized skin)	7020	dig out food with ladle, jab or gouge with stick or horn	4
95	the horse		!	
96	hot	4353	hot (object, fire, sun, etc.)	4
97	the house	768	house, household	4
98	hundred		!	
99	to hunt	963	hunt, follow deer	4
99	to hunt	6920	follow, hunt, pursue	4
100	the husband	5033	husband (arch.)	4
100	the husband	5637	husband, old man (<N buDho old man)	4
101	I [first person singular]	66	I	4
101	I [first person singular]	2048	I	4
102	the ice	5459	ice (<N bərəph)	4
103	inside	5978	inside (<N bhitrə)	4
104	to kill	7881	kill, catch (and kill); finish off (ext.)	4
105	to knead	6194	knead, mix soft material (food, etc.) with water, make paste, massage much	4
106	the knee	2113	knee (B)	4
106	the knee	1031	knee	4
107	knife	8051	knife (B)	4
107	knife	2638	knife (small) (<N)	4
108	to know (something)	2282	know, understand	4
109	the lake		!	
110	late	6019	late	2
111	to laugh	4569	laugh, grin (WD)	4
112	the leaf	8515	leaf (sp.)	4
113	to learn	8249	teach, instruct; learn	4
114	left	7716	left (direction)	4
115	to lick	7428	lick	4
115	to lick	9231	lick (B)	4
116	to lie down	1131	stick down flat, lie down (hair, fur), be sleek, smooth	4
117	light (of weight)	1330	light (weight)	4
118	the lip (the lips)	506	lip(B)	4
118	the lip (the lips)	4483	lip	4
118	the lip (the lips)	4631	lip (SW)	4
119	the liver	7997	liver; kernel (of grain)	4
120	long	1699	long (object, story), tall (person)	4
121	the louse	8380	louse (of head)	4
122	the lung	9188	???	
123	the man (male human)	2408	man, male	4
124	many	86	much, many, very	4
125	to marry (a man marries a woman)	7651	bring bride in marriage, marry	4
126	the meat	6210	meat, food with meat in it, flesh, woody part of tree, gum on stick; prey, game, victim of demon (ext.)	4
126	the meat	8194	meat (B)	4
127	middle		!	
128	the moon	7297	moon; month (after numeral)	4
129	morning	5616	morning (<N)	4
130	the mosquito	2832	insect (sp.), Mosquito	4
131	the mother	97	mother	4
132	the mountain	8205	base of hill or mountain; spirit of this place	4
133	the mouse or rat	7015	rat	4
134	the mouth	6379	mouth (B)	4
134	the mouth	8913	mouth, opening, entrance, wide end	4
135	the mud		!	4
136	the nail (fingernail or claw)	7752	nail (of finger, toe), claw	4
137	the name	6113	name	4
138	narrow	618	narrow, flat spur (small), outcrop, ridge	4
139	near	4238	near, close	4
140	the neck	682	neck	4
141	the needle (for sewing)	1702	needle	4
142	new	4470	new (<N)	4
143	nine		!	
144	the nit		!	
145	noon		!	
146	the nose	4655	nose	4
147	old (of person)	138	old (person, object)	4
148	one	6501	one	2
148	one	6485	one	2
149	the otter	3279	otter	4
150	outside	5582	outside (<N bahirə)	4
151	the pig	5106	pig	4
152	to plant (vegetals, rice)	5196	plant, implant, transplant	4
153	to play	1610	play, hunt (NED)	4
153	to play	1410	play, hunt (B)	4
154	to pull	9068	pull, drag along	4
155	to push	4382	push, shove object	4
156	the rain	4713	rain	4
157	the rainbow	6649	display, sight, rainbow	4
158	red	4037	red, appear red	4
159	to reside (live)	6007		
160	the rice plant	7888	rice plant, used at Chonam festival	4
161	right	2137	right (side)	4
162	the river	6141	river	4
162	the river	3272	large stream, river	4
163	the road	7524	track, path, road	4
164	the root	6925	root; underground extension (of house, etc.) (ext.)	4
165	the rope	7183	rope, string, cord, vine, halter	4
166	round	7153	be spherical, round	4
167	to run	3125	run, move fast	4
168	the salt	2654	salt, salt-like substances	4
170	the sand		!	
171	to scratch	7592	scratch (all over), leave scratch marks	4
172	the sea		!	
173	to see	393	look, see (WD)	4
174	the seed	7889	fruit, nut, seed (gen.); bead	4
175	seven	6770		
176	sharp	9275	sharp (blade, etc.)	4
177	the sheep		!	
178	to shoot (an arrow)	134		4
179	short	3617	short	2
180	the shoulder	5587	shoulder, moveable part of upper arm (including shoulder blade)	4
181	shy	6847	shy, embarrassed, ashamed	4
182	the sickle	6802	sickle	4
183	to sing	6325	sing	4
184	six	1293		
185	the skin	4986	skin, bark, outer covering (natural)	4
186	the sky	3784	sky	4
187	to sleep	270	sleep, be lying down	4
188	small	2406	small	2
189	to smell (perceive odor) [transitive]	4549	sniff (for scent), smell	4
190	the smoke	8898	smoke	4
190	the smoke	601	smoke	4
190	the smoke	602	smoke	4
191	smooth	7798	smooth, even (surface)	4
192	the snake	8679	snake (sp.)	4
193	the snow	8950	snow (<N hiuɴ)	4
194	soft	1895	tender, soft (meat)	4
195	the son	1656	male, man, son	4
196	the sparrow		!	
197	the spider	1705	spider (generic)	4
198	to spit	4276	spit	4
199	to stand		!	
200	the star	524	star	4
201	to steal	604	steal	4
202	the stick	3747	stick (bamboo), used for flicking stones; shaman's missile	4
203	the stone (a piece of)	5521	stone, rock	4
204	straight	4389	straight	2
205	the sun	4708	sun, sunlight, storm-cloud, weather	4
206	the tail	6331	tail, lower end (of field, etc.)	4
207	ten	3673	ten (or twelve)	4
208	that	311	Demonstrative (Distal); that (distant)	4
209	there	314	there, in that place	4
210	thick	4099	thick (of layer)	4
211	the thigh	5271	thigh, upper leg	4
212	thin (object)	5673	thin (flat object)	4
213	to think (reflect)	8864	think, think about; (with Negative - not like)	4
214	this	179	Demonstrative (Proximal);this	4
215	thou [second person singular]	4536		
216	three	8045	three	2
217	to throw	7660	scatter around, broadcast, sow (seed, etc.), cause to spread out; cast, throw (net)	4
218	the thunder	4712	thunder	4
219	the tiger	6159	animal (sp.), tiger or large feline	4
220	today	3425	today	2
221	tomorrow	8243	tomorrow	2
222	the tongue	7403	tongue	4
223	the tooth (front)	651	tooth (sp.), canine	4

224	the tree	9224	tree (sp.), a palm (gen.)	4
224	the tree	653	tree (sp.)	4

225	twenty	5628	twenty (<N)	4
226	two	4618	two	2
227	to vomit	8561	vomit	4
228	to walk	7674	walk	4
229	the water	3267	water, rain, clear fluid, sap	4
230	we [first person plural inclusive]	2087	we	4
230	we [first person plural inclusive]	4568	we	4
231	wet	4706	wet, damp	4
232	what	4228	Interrogative or Indefinite Impersonal Pronoun; what, something (hypothetical)	4
233	the wheat	1425	wheat (<N gəhuɴ)	4
234	where	1467	Interrogative or Indefinite of Location; where, wherever	4
234	where	1468	Interrogative or Indefinite of Location; where, wherever	4
235	white	5939	white	2
236	who	8011	Interrogative or Indefinite Personal Pronoun; who, whoever, someone (hypothetical)	4
237	the wife	6359	wife	4
238	the wind	6152	wind	4
239	the wing	4890	wing, wing pinion	4
240	to wipe	5738	wipe, smear dirt on (face, etc.)	4
241	the wolf		!	
242	the woman	2409	woman, female	4
243	the wood (material)	7982	wood (gen.), timber, tree (gen.)	4
244	to sow (broadcast, scatter seeds)	7660	scatter around, broadcast, sow (seed, etc.), cause to spread out; cast, throw (net)	4
245	the year	6505	year (arch. -recorded by B. H.Hodgson)	4
245	the year	5483	year (<N bərsə)	4
246	yellow	6532	yellow	2
247	yesterday	6694	yesterday	2
248	you [second person plural]	4591	you (plural)	4
249	young	8488	younger, young	4
250	the shit	1080		
