ID	ENGLISH	TBL_ID	CONCEPTICON_ID	BUNAN_ID	BUNAN_GLOSS
1	above	731	1741	810	on, above
2	all	962	98	2383	all
3	the ant	365	587	1033	ant
4	the armpit	92	1886		
5	bad	1053	1292	1342	bad
6	the bamboo	389	1927		
7	the barley (tibetan or highland)	411	932	431	barley
8	to be alive	1087	1422	1942	alive
9	the belly	96	1251	318	belly, stomach
10	below, under	732	1485	2504	under, below
11	big	964	1202	2239	big, honest
12	the bird	326	937	1663	bird
13	to bite	1753	1403	1006	sting, bite
14	black	1005	163	1050	black
15	the blood	129	946	277	blood
16	to blow (of wind)	1738	175	888	blow (wind), turn, whirl
17	the body hair (hair or fur)	266	189	1692	body hair
18	the bone	133	1394	1874	bone
19	the branch	374	1531	1212	branch
20	the breast (female)	94	1402	1322	breast (female)
21	to burn [intransitive]	1269	1428	2124	burn (i)
22	to buy	1516	1869	825	buy
23	to chew	1424	321	1868	chew
24	the child (young human)	169	1304	2345	child
25	the cloud	7	1489	386	cloud, fog
26	cold (of temperature)	1063	1287	601	cold
26	cold (of temperature)	1063	1287	1933	cold
27	to come	1491	1446	957	come
28	correct (right)	1045	1725	2291	correct, right
29	to count	1640	1420	1381	count
30	to cry (weep)	1485	1839	2280	weep (single person)
31	dark	1013	706	1444	darkness
32	the daughter	222	1357		
33	the dew	15	1977	442	dew
34	to die	1651	1494	265	die
34	to die	1651	1494	2559	die
35	to dig	1698	1418	703	dig out (fieldcrops buried in the ground)
36	dirty	1086	1230	1911	dirty
37	the dog	289	2009	1111	dog
38	the dream	699	2374	1338	dream
39	to drink	1370	1401	2438	drink
40	dry	1028	1398	1106	dry
41	the dust	45	2	2431	dust
42	the ear	81	1247	1842	ear
43	early	1018	672	1581	early
44	the earth (soil)	40	1228	1379	earth
45	the earthworm	363	2350	532	earth worm
46	to eat	1198	1336	415	eat
47	the egg	450	744	1168	egg
48	eight	804	1705	605	eight
49	the eye	79	1248	1380	eye
50	far	974	1406	2595	far (away)
51	the father	218	1217	47	father
52	the feather	299	1201	272	wing, feather
53	to fight	1234	1423	2506	fight, quarrel
54	the fire	18	221	1357	fire
55	firewood	534	10	1358	firewood
56	the fish	351	227	1558	fish
57	five	801	493	1579	five
58	the flea	355	232	1453	flea
59	to float	1553	1574		
60	to flow	1502	2003		
61	the flower	377	239	1371	flower
62	to fly (move through air)	1318	1441	192	fly
63	the fog	16	249	1313	fog
64	the foot	103	1301	73	foot
65	the forest	50	420		
66	to forget	1704	1523	1304	forget
67	four	800	1500	1644	four
68	the fox	325	1312	729	fox
69	the frog	349	503	65	frog
70	the front (front side)	712	2194	410	in front of
71	the frost	14	2034	1067	frost, hard snow on which one can walk
72	the fruit	378	1507		
73	full	984	1429	118	full
74	to give	1345	1447	306	give
75	the goat	276	1502	1193	goat (young)
75	the goat	276	1502	98	goat (male)
75	the goat	276	1502	1170	goat (female)
76	good	1052	1035	572	good
77	the grass	436	606	2099	grass
78	green	1009	1425	2271	blue/green
79	the hail	13	609		
80	the hair (of the head)	75	1040	999	hair
81	the hand	107	1277	1179	hand
82	hard	1034	1884	1004	hard
83	he or she [third person singular]	934	262	2022	he/she
84	the head	74	1256	1694	head
85	to hear	1682	1408	756	hear
86	the heart	144	1223	1913	heart, mind
87	heavy	1014	1210	1260	heavy
88	here	944	136	1102	here
89	to hide (conceal)	1169	602	126	hide
90	high / tall	968	1265	2514	high
91	to hold	1709	1448	2363	seize, hold, catch
92	the hoof	264	152	1832	hoof
93	horizontal	1001	2376	1784	horizontal
94	the horn (keratinized skin)	263	1393	1865	horn
95	the horse	268	615	1977	horse
96	hot	1062	1286	2180	warm, hot
97	the house	494	1252	964	house
98	hundred	824	1634	620	hundred
99	to hunt	1230	1435	1265	hunt
100	the husband	247	1200	310	husband
101	I [first person singular]	928	1209	616	I
102	the ice	17	617	1268	ice, egg white
103	inside	715	1606	1478	inside
104	to kill	1602	1417	1704	kill
105	to knead	1594	274	2323	knead
106	the knee	101	1371	1708	knee
107	knife	549	1352	2069	knife
107	knife	549	1352	1157	knife
108	to know (something)	1798	1410	2159	know
109	the lake	31	624	2406	lake, sea
110	late	1019	477	314	slow, late
111	to laugh	1735	1355	1980	laugh
112	the leaf	376	628	1219	leaf
113	to learn	1742	504		
114	left	710	244	833	left(side)
115	to lick	1674	319	1180	lick
116	to lie down	1661	215	579	lie (down)
117	light (of weight)	1052	1052	800	light
118	the lip (the lips)	85	478	518	lips
119	the liver	145	1224	2104	liver
120	long	972	1203	634	long (in size)
121	the louse	356	1392	1983	louse
122	the lung	143	688	706	lungs
123	the man (male human)	173	2106	1119	man
124	many	987	1198		
125	to marry (a man marries a woman)	1578	2164	57	marry
126	the meat	443	634	209	meat
127	middle	708	1093	921	centre, middle
128	the moon	4	1313	1172	moon
129	morning	749	1339	1590	morning
130	the mosquito	360	1509		
131	the mother	219	1216	19	mother
132	the mountain	23	639	1173	mountain (pass)
133	the mouse or rat	320	2139	1668	mouse, rat
134	the mouth	84	674	5	mouth
135	the mud	46	640	531	mud
136	the nail (fingernail or claw)	113	2128	294	nail (finger)
136	the nail (fingernail or claw)	113	2128	440	claw (of predators)
137	the name	687	1405	1393	name
138	narrow	977	1267	1793	narrow
139	near	975	1942	891	near
139	near	975	1942	1427	near
140	the neck	89	1333	1063	neck
141	the needle (for sewing)	578	1382	627	needle (small)
141	the needle (for sewing)	578	1382	2458	needle (big)
141	the needle (for sewing)	578	1382	1088	needle (middle size)
142	new	1050	1231	1542	new
143	nine	805	1483	707	nine
144	the nit	357	267	2001	nit
145	noon	750	12	1512	noon
146	the nose	80	1221	652	nose
147	old (of person)	1058	2112	232	old (of men)
147	old (of person)	1058	2112	223	old (of women)
148	one	797	1493	2260	one
149	the otter	317	15		
150	outside	714	762	1748	outside
151	the pig	284	1337		
152	to plant (vegetals, rice)	1774	1486	2357	begin, plant, educate
153	to play	1703	1413	955	dance, play
154	to pull	1568	1455	2098	pull, eat (of cows)
155	to push	1689	1452	1789	push
156	the rain	10	658	258	rain
157	the rainbow	11	1733	180	rainbow
158	red	1007	156	1336	red
159	to reside (live)	1452	1099		
160	the rice plant	439	2026	167	rice
161	right	711	1019	812	right(side)
162	the river	30	666	701	river
163	the road	38	667	27	road, way, path
164	the root	375	670	95	root
165	the rope	619	1218	1814	rope (strong)
166	round	990	1395	2339	round
167	to run	1544	1519	697	run
168	the salt	61	1274	2366	salt
169	salty	1076	1091		
170	the sand	44	671	102	sand
171	to scratch	1530	1436	2311	scratch
172	the sea	32	1474	2406	lake, sea
173	to see	1471	1409	2470	see
173	to see	1471	1409	2032	see
174	the seed	405	714	1886	seed
175	seven	803	1704	1509	seven
176	sharp	1020	1396	425	sharp, holy
177	the sheep	275	1331	1199	sheep (female)
178	to shoot (an arrow)	1611	1172	1089	beat, hit, shoot
179	short	973	1645	2437	short
180	the shoulder	90	1482	1700	shoulder
181	shy	1365	487	1976	shame, shyness
182	the sickle	624	341	2089	sickle
183	to sing	1184	1261	1192	sing
184	six	802	1703	2322	six
185	the skin	120	763	96	skin
186	the sky	1	1732	1464	sky
187	to sleep	1646	1585	783	sleep
188	small	965	1246	961	small
189	to smell (perceive odor) [transitive]	1707	1586	2019	smell
190	the smoke	19	778	1145	smoke
191	smooth	1037	1234	487	smooth
192	the snake	347	730	2238	snake
193	the snow	12	784	1432	snow
194	soft	1035	1856	1282	soft (solid)
195	the son	220	1620	206	boy, son (only appropriate when grown
196	the sparrow	336	1854		
197	the spider	361	843	1850	spider
198	to spit	1688	1440		
199	to stand	1784	1442	2095	upright, standing
200	the star	5	1430	885	star
201	to steal	1686	713	1015	steal
202	the stick	586	1295	108	stick, Dreschflegel
203	the stone (a piece of)	43	857	695	stone (generic)
204	straight	1003	1404	2360	straight, directly
205	the sun	2	1343	1530	sun
206	the tail	267	1220	1584	tail
207	ten	806	1515	2134	ten
208	that	947	78	2449	that
209	there	950	1937	2477	there (distal), thither
210	thick	980	1244	133	thick (of long things), fat
211	the thigh	100	800	1121	thigh (of animal)
212	thin (object)	981	2307	285	thin (of long things)
212	thin (object)	981	2307	2080	thin (of flat things)
213	to think (reflect)	1726	1415	2255	think
214	this	942	1214	2489	this
215	thou [second person singular]	931	1215	743	you
216	three	799	492	1961	three
217	to throw	1687	1456	844	throw (hinwerfen), roll (stones)
218	the thunder	8	1150	356	thunder
219	the tiger	304	846	2010	tiger
220	today	738	1283	2464	today
221	tomorrow	742	1329	1606	tomorrow
222	the tongue	139	1205	1239	tongue
223	the tooth (front)	137	1380	1974	tooth
224	the tree	372	906	207	tree
225	twenty	816	1710	1507	twenty
226	two	798	1498	1524	two
227	to vomit	1535	1278	1283	vomit
228	to walk	1815	1443	26	walk
229	the water	47	948	2215	water
229	the water	47	948	1949	water
230	we [first person plural inclusive]	930	1131		
231	wet	1029	1726	573	we.INCL
232	what	954	1236	1047	what
233	the wheat	410	1077		
234	where	955	1237	709	where (int)
235	white	1006	1335	255	white
236	who	953	1235	1951	who (int)
237	the wife	248	1199	127	wife
238	the wind	9	960	1201	air, wind
239	the wing	298	1257	272	wing, feather
240	to wipe	1163	1454	187	wipe off
241	the wolf	324	522	225	wolf
242	the woman	174	962	1232	woman
243	the wood (material)	511	1803	2623	wood [added by JML from phrases]
244	to sow (broadcast, scatter seeds)	1597	748	2624	scatter seed [throw + seed]
245	the year	777	1226	1093	year
246	yellow	1008	1424	1242	yellow
247	yesterday	739	1174	791	yesterday
248	you [second person plural]	933	1213	743	you
249	young	1059	1207	1743	young (babies and small children)
250	the shit	151	676	6	excrements
